,geoid,name,level,lss,lss_score,lss_cat,lss_range,efd,efd_score,efd_cat,efd_range,vfd,vfd_score,vfd_cat,vfd_range,wlf,wlf_score,wlf_cat,wlf_range,pop,pop_score,pop_cat,pop_range,uep,uep_score,uep_cat,uep_range,mhi,mhi_score,mhi_cat,mhi_range,pvt,pvt_score,pvt_cat,pvt_range,cre,cre_score,cre_cat,cre_range,rfr,rfr_score,rfr_cat,rfr_range,cfr,cfr_score,cfr_cat,cfr_range,drr,drr_score,drr_cat,drr_range
0,01,Alabama,1,1.778779909324126,2.338170792308852,2,"[1.638110007754071, 2.054082956244492]",1.0,1,0,"[0, 2]",0.0,0,0,"[0, 2]",1412812.1334160941,2.983563944476688,2,"[278101.3023904694, 1431773.9612935523]",4903185,2.671405241686146,2,"[3155070.0, 5758736.0]",3.0,1.2500000000000002,1,"[2.9, 3.3]",49881.0,0.5911574261432618,0,"[44038.0, 53922.0]",16.8,4.3478260869565215,4,"[15.2, 19.8]",26.75702550170268,3.5854118435136497,3,"[25.719829954477998, 27.491566482730352]",0.5029808968884877,0.5029808968884877,0,"[0, 1]",0.08920618418265562,0.08920618418265562,0,"[0, 1]",1.844420856887533,1.844420856887533,1,"[1, 2]"
1,02,Alaska,1,2.2453838332698743,3.5732993193347453,3,"[2.054082956244492, 2.3877670730290137]",3.3963782696177063,3,1,"[2, 4]",0.0,0,0,"[0, 2]",7081020.107660296,4.738294131261333,4,"[3166594.9036295014, 8468580.97975234]",731545,0.1956407051905879,0,"[578759.0, 1359711.0]",6.1,5.0,4,"[4.1, 6.1]",74912.0,4.2206949217258485,4,"[72600.0, 83076.0]",11.1,1.3846153846153844,1,"[10.6, 11.9]",20.081771562154184,0.2457392331316523,0,"[19.249741010717447, 22.635568095930925]",1.6925722519834483,1.6925722519834483,1,"[1, 2]",0.3630212516972573,0.3630212516972573,0,"[0, 1]",,,-1,Data not available
2,04,Arizona,1,2.081928005642101,3.0834473323631095,3,"[2.054082956244492, 2.3877670730290137]",1.6034482758620692,2,0,"[0, 2]",1.0,1,0,"[0, 2]",2803289.666740414,3.7905805561697368,3,"[1431773.9612935523, 3166594.9036295014]",7278717,3.4866346679029045,3,"[5758736.0, 8882190.0]",4.7,4.300000000000002,4,"[4.1, 6.1]",59079.0,2.2260890727670968,2,"[58150.0, 62259.0]",14.1,3.4761904761904763,3,"[13.1, 15.2]",29.327045826989288,4.464477019728216,4,"[27.491566482730352, 31.443278335628815]",0.6803776152060051,0.6803776152060051,0,"[0, 1]",0.024658643588469045,0.024658643588469045,0,"[0, 1]",1.453467739065052,1.453467739065052,1,"[1, 2]"
3,05,Arkansas,1,1.6841557221828056,2.1106940117039725,2,"[1.638110007754071, 2.054082956244492]",1.0,1,0,"[0, 2]",0.0,0,0,"[0, 2]",3919764.563356669,4.142054250787083,4,"[3166594.9036295014, 8468580.97975234]",3017804,1.9235439820113969,1,"[1359711.0, 3155070.0]",3.5,2.6666666666666665,2,"[3.3, 3.6]",47094.0,0.30918656414407125,0,"[44038.0, 53922.0]",16.8,4.3478260869565215,4,"[15.2, 19.8]",25.97310040146786,3.1429504008926727,3,"[25.719829954477998, 27.491566482730352]",0.839421880507313,0.839421880507313,0,"[0, 1]",0.0,0.0,0,"[0, 1]",2.122968923063881,2.122968923063881,2,"[2, 3]"
4,06,California,1,2.7218912559449118,4.4134842995735575,4,"[2.3877670730290137, 3.1958368915456874]",4.544063079777366,5,2,"[4, 6]",2.6114649681528657,3,1,"[2, 4]",5259801.313762165,4.394796663001302,4,"[3166594.9036295014, 8468580.97975234]",39512223,5.0,4,"[8882190.0, 39512223.0]",4.0,3.8000000000000007,3,"[3.6, 4.1]",75250.0,4.252959144711721,4,"[72600.0, 83076.0]",12.8,2.7500000000000013,2,"[11.9, 13.1]",27.739515281742076,4.062744655542096,4,"[27.491566482730352, 31.443278335628815]",1.1790348105495592,1.1790348105495592,1,"[1, 2]",0.11028236332962454,0.11028236332962454,0,"[0, 1]",1.7896176518068672,1.7896176518068672,1,"[1, 2]"
5,08,Colorado,1,2.266790957127209,3.6374531785703006,3,"[2.054082956244492, 2.3877670730290137]",1.0,1,0,"[0, 2]",0.0,0,0,"[0, 2]",1064304.445463498,2.6814785259976213,2,"[278101.3023904694, 1431773.9612935523]",5758736,3.0,3,"[5758736.0, 8882190.0]",2.8,0.7999999999999998,0,"[2.4, 2.9]",71949.0,3.9370467072816937,3,"[62259.0, 72600.0]",9.7,0.6999999999999998,0,"[7.6, 10.6]",24.151289483156447,2.0,2,"[24.15128948315645, 25.719829954477998]",1.2067412677427254,1.2067412677427254,1,"[1, 2]",0.0,0.0,0,"[0, 1]",1.991475390996151,1.991475390996151,1,"[1, 2]"
6,09,Connecticut,1,2.087364656799444,3.0997401400931635,3,"[2.054082956244492, 2.3877670730290137]",0.0,0,0,"[0, 2]",0.0,0,0,"[0, 2]",0.0,0.0,0,"[108.29220021855578, 30297.077253160212]",3565287,2.157553618628503,2,"[3155070.0, 5758736.0]",3.7,3.2,3,"[3.6, 4.1]",76366.0,4.359488354333715,4,"[72600.0, 83076.0]",10.3,0.9000000000000004,0,"[7.6, 10.6]",23.897591618433673,1.8326223626182605,1,"[22.635568095930925, 24.15128948315645]",0.8870420430949598,0.8870420430949598,0,"[0, 1]",0.6142077991867368,0.6142077991867368,0,"[0, 1]",1.4303976568601364,1.4303976568601364,1,"[1, 2]"
7,10,Delaware,1,1.056806550665302,0.04747898356909679,0,"[1.0412614836417204, 1.368670915247571]",0.0,0,0,"[0, 2]",0.0,0,0,"[0, 2]",0.0,0.0,0,"[108.29220021855578, 30297.077253160212]",973764,0.5057993320972352,0,"[578759.0, 1359711.0]",3.8,3.4,3,"[3.6, 4.1]",65467.0,3.3102214486026496,3,"[62259.0, 72600.0]",12.2,2.249999999999999,2,"[11.9, 13.1]",27.38012113476163,3.9370982388229856,3,"[25.719829954477998, 27.491566482730352]",0.2522993654109314,0.2522993654109314,0,"[0, 1]",1.6300911668199125,1.6300911668199125,1,"[1, 2]",2.109648709165516,2.109648709165516,2,"[2, 3]"
8,11,District of Columbia,1,1.6717557251908397,2.080884388176852,2,"[1.638110007754071, 2.054082956244492]",0.0,0,0,"[0, 2]",0.0,0,0,"[0, 2]",0.0,0.0,0,"[108.29220021855578, 30297.077253160212]",705749,0.16260922566303693,0,"[578759.0, 1359711.0]",5.5,4.7,4,"[4.1, 6.1]",82533.0,4.948167239404354,4,"[72600.0, 83076.0]",16.1,4.195652173913044,4,"[15.2, 19.8]",31.44327833562881,5.0,4,"[27.491566482730352, 31.443278335628815]",0.4154289831368697,0.4154289831368697,0,"[0, 1]",0.22718619713158306,0.22718619713158306,0,"[0, 1]",2.0102102003839284,2.0102102003839284,2,"[2, 3]"
9,12,Florida,1,1.0412614836417204,0.0,0,"[1.0412614836417204, 1.368670915247571]",0.0,0,0,"[0, 2]",0.0,0,0,"[0, 2]",8468580.97975234,5.0,4,"[3166594.9036295014, 8468580.97975234]",21477737,4.411215587002468,4,"[8882190.0, 39512223.0]",3.1,1.5000000000000004,1,"[2.9, 3.3]",55433.0,1.3573793755912962,1,"[53922.0, 58150.0]",13.7,3.2857142857142856,3,"[13.1, 15.2]",31.407448881296357,4.990933181449914,4,"[27.491566482730352, 31.443278335628815]",1.7564825843631806,1.7564825843631806,1,"[1, 2]",0.4687448718199165,0.4687448718199165,0,"[0, 1]",1.6041644724684112,1.6041644724684112,1,"[1, 2]"
